Abundance,Reference,Sampling_effort,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
39,Cameron et al. 2011,60,Bombus impatiens,133,133,38,7775,305,-41,346,212,47,231,30,1173,120,84,11,325,255,321,259
0,Cameron et al. 2011,60,Bombus bifarius,75,106,28,8937,257,-109,366,36,187,187,-45,1220,138,78,17,373,242,242,324
0,Cameron et al. 2011,60,Bombus impatiens,75,106,28,8937,257,-109,366,36,187,187,-45,1220,138,78,17,373,242,242,324
0,Cameron et al. 2011,60,Bombus bifarius,71,109,28,9181,258,-118,376,29,186,186,-52,1191,134,79,15,361,245,245,310
0,Cameron et al. 2011,60,Bombus impatiens,71,109,28,9181,258,-118,376,29,186,186,-52,1191,134,79,15,361,245,245,310
0,Cameron et al. 2011,60,Bombus bifarius,71,108,28,9171,258,-118,376,30,186,186,-52,1201,136,78,16,365,244,244,317
0,Cameron et al. 2011,60,Bombus impatiens,71,108,28,9171,258,-118,376,30,186,186,-52,1201,136,78,16,365,244,244,317
0,Cameron et al. 2011,60,Bombus bifarius,75,105,29,8822,255,-107,362,-13,185,185,-44,1246,142,76,18,386,238,238,341
0,Cameron et al. 2011,60,Bombus impatiens,75,105,29,8822,255,-107,362,-13,185,185,-44,1246,142,76,18,386,238,238,341
0,Cameron et al. 2011,60,Bombus bifarius,64,113,29,9348,256,-130,386,23,181,181,-61,1176,132,80,15,354,247,247,310
0,Cameron et al. 2011,60,Bombus impatiens,64,113,29,9348,256,-130,386,23,181,181,-61,1176,132,80,15,354,247,247,310
0,Cameron et al. 2011,76,Bombus bifarius,83,110,27,10112,282,-121,403,207,-55,207,-55,889,104,31,32,305,123,305,123
8,Cameron et al. 2011,76,Bombus impatiens,83,110,27,10112,282,-121,403,207,-55,207,-55,889,104,31,32,305,123,305,123
0,Cameron et al. 2011,80,Bombus bifarius,77,116,27,10551,283,-137,420,206,-68,206,-68,814,100,27,39,296,95,296,95
57,Cameron et al. 2011,80,Bombus impatiens,77,116,27,10551,283,-137,420,206,-68,206,-68,814,100,27,39,296,95,296,95
0,Cameron et al. 2011,90,Bombus bifarius,173,138,38,7729,344,-14,358,217,68,269,68,729,100,32,36,256,112,195,112
0,Cameron et al. 2011,90,Bombus impatiens,173,138,38,7729,344,-14,358,217,68,269,68,729,100,32,36,256,112,195,112
0,Cameron et al. 2011,90,Bombus bifarius,89,144,33,10296,305,-131,436,196,-48,219,-48,612,96,12,55,265,45,256,45
1,Cameron et al. 2011,90,Bombus impatiens,89,144,33,10296,305,-131,436,196,-48,219,-48,612,96,12,55,265,45,256,45
0,Cameron et al. 2011,90,Bombus bifarius,93,139,31,10513,305,-135,440,202,-48,225,-48,636,102,10,58,285,43,256,43
